"Indicator","Region","Economic activity type","Frequency","Unit of measure","Scaling","Decimals displayed","Confidentiality","Timeseries notes","Observation notes","2016","2017","2018","2019","2020","2021","2022"
"Amount of electricity used","Zaporizka","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","8525362.0","8914018.0","8958305.7","8678254.3","7454972.2","","2654990.5"
"Amount of electricity used","Luhanska","Total","Annual","Kilowatt-hour","Thousands","Two","Confidential statistical information","1. Дані наведені без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions.; 2. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","2778822.0","2061683.0","1344432.7","1217605.6","1161035.6","",""
"Amount of electricity used","Ternopilska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","456317.0","490386.0","502419.4","461330.3","419851.3","","422411.3"
"Amount of electricity used","Zhytomyrska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","1221955.0","1235123.0","1292911.6","1242681.4","1268438.1","","945659.0"
"Amount of electricity used","Khmelnytska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","1834182.0","1879352.0","1787707.2","1599363.7","1710960.1","","1569289.7"
"Amount of electricity used","Khersonska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","976506.0","1091690.0","1241048.3","1121620.6","997488.2","","61635.0"
"Amount of electricity used","Donetska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Дані наведені без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions.; 2. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","1.038167E7","9316823.0","8478546.7","9102257.1","8901484.3","","1813894.6"
"Amount of electricity used","Rivnenska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","2550893.0","2642230.0","2462567.0","2814660.0","2678332.2","","2448108.2"
"Amount of electricity used","Poltavska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","4010496.0","4065344.0","4046275.2","3981528.0","3822701.4","","2493988.6"
"Amount of electricity used","Sumska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","1281842.0","1254959.0","1312104.9","1264421.8","1196932.2","","829490.0"
